line top point : (594000.956, 5753195.131)	 line bottom point : (594000.956, 5745470.425) 	 left # : 1498 	 right # : 1570 	 overlap_with_division_line # : 333
line top point : (594032.956, 5753195.131)	 line bottom point : (594032.956, 5745470.425) 	 left # : 1534 	 right # : 1549 	 overlap_with_division_line # : 318
line top point : (594033.956, 5753195.131)	 line bottom point : (594033.956, 5745470.425) 	 left # : 1536 	 right # : 1548 	 overlap_with_division_line # : 317
line top point : (594034.956, 5753195.131)	 line bottom point : (594034.956, 5745470.425) 	 left # : 1536 	 right # : 1548 	 overlap_with_division_line # : 317
line top point : (594035.956, 5753195.131)	 line bottom point : (594035.956, 5745470.425) 	 left # : 1536 	 right # : 1548 	 overlap_with_division_line # : 317
line top point : (594036.956, 5753195.131)	 line bottom point : (594036.956, 5745470.425) 	 left # : 1536 	 right # : 1548 	 overlap_with_division_line # : 317
line top point : (594037.956, 5753195.131)	 line bottom point : (594037.956, 5745470.425) 	 left # : 1536 	 right # : 1548 	 overlap_with_division_line # : 317
line top point : (594038.956, 5753195.131)	 line bottom point : (594038.956, 5745470.425) 	 left # : 1536 	 right # : 1548 	 overlap_with_division_line # : 317
line top point : (594039.956, 5753195.131)	 line bottom point : (594039.956, 5745470.425) 	 left # : 1536 	 right # : 1548 	 overlap_with_division_line # : 317
line top point : (594040.956, 5753195.131)	 line bottom point : (594040.956, 5745470.425) 	 left # : 1536 	 right # : 1548 	 overlap_with_division_line # : 317
line top point : (594041.956, 5753195.131)	 line bottom point : (594041.956, 5745470.425) 	 left # : 1536 	 right # : 1548 	 overlap_with_division_line # : 317
line top point : (594042.956, 5753195.131)	 line bottom point : (594042.956, 5745470.425) 	 left # : 1540 	 right # : 1544 	 overlap_with_division_line # : 317
line top point : (594043.956, 5753195.131)	 line bottom point : (594043.956, 5745470.425) 	 left # : 1540 	 right # : 1544 	 overlap_with_division_line # : 317
line top point : (594044.956, 5753195.131)	 line bottom point : (594044.956, 5745470.425) 	 left # : 1542 	 right # : 1542 	 overlap_with_division_line # : 317
line top point : (594045.956, 5753195.131)	 line bottom point : (594045.956, 5745470.425) 	 left # : 1542 	 right # : 1542 	 overlap_with_division_line # : 317
line top point : (594046.956, 5753195.131)	 line bottom point : (594046.956, 5745470.425) 	 left # : 1544 	 right # : 1541 	 overlap_with_division_line # : 316
line top point : (594047.956, 5753195.131)	 line bottom point : (594047.956, 5745470.425) 	 left # : 1546 	 right # : 1540 	 overlap_with_division_line # : 315
line top point : (594048.956, 5753195.131)	 line bottom point : (594048.956, 5745470.425) 	 left # : 1546 	 right # : 1540 	 overlap_with_division_line # : 315
line top point : (594049.956, 5753195.131)	 line bottom point : (594049.956, 5745470.425) 	 left # : 1546 	 right # : 1540 	 overlap_with_division_line # : 315
line top point : (594050.956, 5753195.131)	 line bottom point : (594050.956, 5745470.425) 	 left # : 1548 	 right # : 1538 	 overlap_with_division_line # : 315
line top point : (594051.956, 5753195.131)	 line bottom point : (594051.956, 5745470.425) 	 left # : 1550 	 right # : 1536 	 overlap_with_division_line # : 315
line top point : (594052.956, 5753195.131)	 line bottom point : (594052.956, 5745470.425) 	 left # : 1550 	 right # : 1536 	 overlap_with_division_line # : 315
line top point : (594053.956, 5753195.131)	 line bottom point : (594053.956, 5745470.425) 	 left # : 1550 	 right # : 1536 	 overlap_with_division_line # : 315
line top point : (594054.956, 5753195.131)	 line bottom point : (594054.956, 5745470.425) 	 left # : 1550 	 right # : 1536 	 overlap_with_division_line # : 315
line top point : (594055.956, 5753195.131)	 line bottom point : (594055.956, 5745470.425) 	 left # : 1550 	 right # : 1536 	 overlap_with_division_line # : 315
line top point : (594056.956, 5753195.131)	 line bottom point : (594056.956, 5745470.425) 	 left # : 1550 	 right # : 1536 	 overlap_with_division_line # : 315
line top point : (594057.956, 5753195.131)	 line bottom point : (594057.956, 5745470.425) 	 left # : 1558 	 right # : 1530 	 overlap_with_division_line # : 313
line top point : (594058.956, 5753195.131)	 line bottom point : (594058.956, 5745470.425) 	 left # : 1558 	 right # : 1530 	 overlap_with_division_line # : 313
line top point : (594059.956, 5753195.131)	 line bottom point : (594059.956, 5745470.425) 	 left # : 1558 	 right # : 1530 	 overlap_with_division_line # : 313
line top point : (594060.956, 5753195.131)	 line bottom point : (594060.956, 5745470.425) 	 left # : 1558 	 right # : 1530 	 overlap_with_division_line # : 313
line top point : (594061.956, 5753195.131)	 line bottom point : (594061.956, 5745470.425) 	 left # : 1562 	 right # : 1526 	 overlap_with_division_line # : 313
line top point : (594062.956, 5753195.131)	 line bottom point : (594062.956, 5745470.425) 	 left # : 1562 	 right # : 1526 	 overlap_with_division_line # : 313
line top point : (594063.956, 5753195.131)	 line bottom point : (594063.956, 5745470.425) 	 left # : 1562 	 right # : 1526 	 overlap_with_division_line # : 313
line top point : (594064.956, 5753195.131)	 line bottom point : (594064.956, 5745470.425) 	 left # : 1566 	 right # : 1523 	 overlap_with_division_line # : 312
line top point : (594065.956, 5753195.131)	 line bottom point : (594065.956, 5745470.425) 	 left # : 1566 	 right # : 1523 	 overlap_with_division_line # : 312
line top point : (594066.956, 5753195.131)	 line bottom point : (594066.956, 5745470.425) 	 left # : 1566 	 right # : 1523 	 overlap_with_division_line # : 312
line top point : (594067.956, 5753195.131)	 line bottom point : (594067.956, 5745470.425) 	 left # : 1566 	 right # : 1523 	 overlap_with_division_line # : 312
line top point : (594068.956, 5753195.131)	 line bottom point : (594068.956, 5745470.425) 	 left # : 1566 	 right # : 1523 	 overlap_with_division_line # : 312
line top point : (594069.956, 5753195.131)	 line bottom point : (594069.956, 5745470.425) 	 left # : 1566 	 right # : 1523 	 overlap_with_division_line # : 312
line top point : (594070.956, 5753195.131)	 line bottom point : (594070.956, 5745470.425) 	 left # : 1566 	 right # : 1523 	 overlap_with_division_line # : 312
line top point : (594071.956, 5753195.131)	 line bottom point : (594071.956, 5745470.425) 	 left # : 1566 	 right # : 1523 	 overlap_with_division_line # : 312
line top point : (594072.956, 5753195.131)	 line bottom point : (594072.956, 5745470.425) 	 left # : 1566 	 right # : 1523 	 overlap_with_division_line # : 312
line top point : (594073.956, 5753195.131)	 line bottom point : (594073.956, 5745470.425) 	 left # : 1566 	 right # : 1523 	 overlap_with_division_line # : 312
line top point : (594074.956, 5753195.131)	 line bottom point : (594074.956, 5745470.425) 	 left # : 1569 	 right # : 1520 	 overlap_with_division_line # : 312
line top point : (594075.956, 5753195.131)	 line bottom point : (594075.956, 5745470.425) 	 left # : 1570 	 right # : 1519 	 overlap_with_division_line # : 312
line top point : (594076.956, 5753195.131)	 line bottom point : (594076.956, 5745470.425) 	 left # : 1570 	 right # : 1519 	 overlap_with_division_line # : 312
line top point : (594077.956, 5753195.131)	 line bottom point : (594077.956, 5745470.425) 	 left # : 1572 	 right # : 1517 	 overlap_with_division_line # : 312
line top point : (594078.956, 5753195.131)	 line bottom point : (594078.956, 5745470.425) 	 left # : 1575 	 right # : 1514 	 overlap_with_division_line # : 312
line top point : (594079.956, 5753195.131)	 line bottom point : (594079.956, 5745470.425) 	 left # : 1575 	 right # : 1514 	 overlap_with_division_line # : 312
line top point : (594080.956, 5753195.131)	 line bottom point : (594080.956, 5745470.425) 	 left # : 1575 	 right # : 1514 	 overlap_with_division_line # : 312
line top point : (594081.956, 5753195.131)	 line bottom point : (594081.956, 5745470.425) 	 left # : 1575 	 right # : 1514 	 overlap_with_division_line # : 312
line top point : (594082.956, 5753195.131)	 line bottom point : (594082.956, 5745470.425) 	 left # : 1575 	 right # : 1514 	 overlap_with_division_line # : 312
line top point : (594083.956, 5753195.131)	 line bottom point : (594083.956, 5745470.425) 	 left # : 1577 	 right # : 1513 	 overlap_with_division_line # : 311
line top point : (594084.956, 5753195.131)	 line bottom point : (594084.956, 5745470.425) 	 left # : 1581 	 right # : 1509 	 overlap_with_division_line # : 311
line top point : (594085.956, 5753195.131)	 line bottom point : (594085.956, 5745470.425) 	 left # : 1583 	 right # : 1508 	 overlap_with_division_line # : 310
line top point : (594086.956, 5753195.131)	 line bottom point : (594086.956, 5745470.425) 	 left # : 1584 	 right # : 1508 	 overlap_with_division_line # : 309
line top point : (594087.956, 5753195.131)	 line bottom point : (594087.956, 5745470.425) 	 left # : 1584 	 right # : 1508 	 overlap_with_division_line # : 309
line top point : (594088.956, 5753195.131)	 line bottom point : (594088.956, 5745470.425) 	 left # : 1584 	 right # : 1508 	 overlap_with_division_line # : 309
line top point : (594089.956, 5753195.131)	 line bottom point : (594089.956, 5745470.425) 	 left # : 1584 	 right # : 1508 	 overlap_with_division_line # : 309
line top point : (594090.956, 5753195.131)	 line bottom point : (594090.956, 5745470.425) 	 left # : 1584 	 right # : 1508 	 overlap_with_division_line # : 309
line top point : (594091.956, 5753195.131)	 line bottom point : (594091.956, 5745470.425) 	 left # : 1584 	 right # : 1508 	 overlap_with_division_line # : 309
line top point : (594092.956, 5753195.131)	 line bottom point : (594092.956, 5745470.425) 	 left # : 1584 	 right # : 1508 	 overlap_with_division_line # : 309
line top point : (594093.956, 5753195.131)	 line bottom point : (594093.956, 5745470.425) 	 left # : 1584 	 right # : 1508 	 overlap_with_division_line # : 309
line top point : (594094.956, 5753195.131)	 line bottom point : (594094.956, 5745470.425) 	 left # : 1584 	 right # : 1508 	 overlap_with_division_line # : 309
line top point : (594095.956, 5753195.131)	 line bottom point : (594095.956, 5745470.425) 	 left # : 1586 	 right # : 1507 	 overlap_with_division_line # : 308
line top point : (594096.956, 5753195.131)	 line bottom point : (594096.956, 5745470.425) 	 left # : 1586 	 right # : 1507 	 overlap_with_division_line # : 308
line top point : (594097.956, 5753195.131)	 line bottom point : (594097.956, 5745470.425) 	 left # : 1590 	 right # : 1504 	 overlap_with_division_line # : 307
line top point : (594098.956, 5753195.131)	 line bottom point : (594098.956, 5745470.425) 	 left # : 1590 	 right # : 1504 	 overlap_with_division_line # : 307
line top point : (594099.956, 5753195.131)	 line bottom point : (594099.956, 5745470.425) 	 left # : 1590 	 right # : 1504 	 overlap_with_division_line # : 307
line top point : (594100.956, 5753195.131)	 line bottom point : (594100.956, 5745470.425) 	 left # : 1590 	 right # : 1504 	 overlap_with_division_line # : 307
line top point : (594101.956, 5753195.131)	 line bottom point : (594101.956, 5745470.425) 	 left # : 1594 	 right # : 1500 	 overlap_with_division_line # : 307
line top point : (594102.956, 5753195.131)	 line bottom point : (594102.956, 5745470.425) 	 left # : 1594 	 right # : 1500 	 overlap_with_division_line # : 307
line top point : (594103.956, 5753195.131)	 line bottom point : (594103.956, 5745470.425) 	 left # : 1594 	 right # : 1500 	 overlap_with_division_line # : 307
line top point : (594104.956, 5753195.131)	 line bottom point : (594104.956, 5745470.425) 	 left # : 1595 	 right # : 1499 	 overlap_with_division_line # : 307
line top point : (594105.956, 5753195.131)	 line bottom point : (594105.956, 5745470.425) 	 left # : 1596 	 right # : 1498 	 overlap_with_division_line # : 307
line top point : (594106.956, 5753195.131)	 line bottom point : (594106.956, 5745470.425) 	 left # : 1596 	 right # : 1498 	 overlap_with_division_line # : 307
line top point : (594107.956, 5753195.131)	 line bottom point : (594107.956, 5745470.425) 	 left # : 1601 	 right # : 1494 	 overlap_with_division_line # : 306
line top point : (594108.956, 5753195.131)	 line bottom point : (594108.956, 5745470.425) 	 left # : 1601 	 right # : 1494 	 overlap_with_division_line # : 306
line top point : (594109.956, 5753195.131)	 line bottom point : (594109.956, 5745470.425) 	 left # : 1603 	 right # : 1492 	 overlap_with_division_line # : 306
line top point : (594110.956, 5753195.131)	 line bottom point : (594110.956, 5745470.425) 	 left # : 1603 	 right # : 1492 	 overlap_with_division_line # : 306
line top point : (594111.956, 5753195.131)	 line bottom point : (594111.956, 5745470.425) 	 left # : 1603 	 right # : 1492 	 overlap_with_division_line # : 306
line top point : (594112.956, 5753195.131)	 line bottom point : (594112.956, 5745470.425) 	 left # : 1603 	 right # : 1492 	 overlap_with_division_line # : 306
line top point : (594113.956, 5753195.131)	 line bottom point : (594113.956, 5745470.425) 	 left # : 1603 	 right # : 1492 	 overlap_with_division_line # : 306
line top point : (594114.956, 5753195.131)	 line bottom point : (594114.956, 5745470.425) 	 left # : 1603 	 right # : 1492 	 overlap_with_division_line # : 306
line top point : (594115.956, 5753195.131)	 line bottom point : (594115.956, 5745470.425) 	 left # : 1603 	 right # : 1492 	 overlap_with_division_line # : 306
line top point : (594116.956, 5753195.131)	 line bottom point : (594116.956, 5745470.425) 	 left # : 1604 	 right # : 1491 	 overlap_with_division_line # : 306
line top point : (594117.956, 5753195.131)	 line bottom point : (594117.956, 5745470.425) 	 left # : 1606 	 right # : 1490 	 overlap_with_division_line # : 305
line top point : (594118.956, 5753195.131)	 line bottom point : (594118.956, 5745470.425) 	 left # : 1607 	 right # : 1489 	 overlap_with_division_line # : 305
line top point : (594119.956, 5753195.131)	 line bottom point : (594119.956, 5745470.425) 	 left # : 1607 	 right # : 1489 	 overlap_with_division_line # : 305
line top point : (594120.956, 5753195.131)	 line bottom point : (594120.956, 5745470.425) 	 left # : 1607 	 right # : 1489 	 overlap_with_division_line # : 305
line top point : (594121.956, 5753195.131)	 line bottom point : (594121.956, 5745470.425) 	 left # : 1607 	 right # : 1489 	 overlap_with_division_line # : 305
line top point : (594122.956, 5753195.131)	 line bottom point : (594122.956, 5745470.425) 	 left # : 1609 	 right # : 1487 	 overlap_with_division_line # : 305
line top point : (594123.956, 5753195.131)	 line bottom point : (594123.956, 5745470.425) 	 left # : 1611 	 right # : 1485 	 overlap_with_division_line # : 305
line top point : (594124.956, 5753195.131)	 line bottom point : (594124.956, 5745470.425) 	 left # : 1611 	 right # : 1485 	 overlap_with_division_line # : 305
line top point : (594125.956, 5753195.131)	 line bottom point : (594125.956, 5745470.425) 	 left # : 1613 	 right # : 1483 	 overlap_with_division_line # : 305
line top point : (594126.956, 5753195.131)	 line bottom point : (594126.956, 5745470.425) 	 left # : 1613 	 right # : 1483 	 overlap_with_division_line # : 305
line top point : (594127.956, 5753195.131)	 line bottom point : (594127.956, 5745470.425) 	 left # : 1613 	 right # : 1483 	 overlap_with_division_line # : 305
line top point : (594128.956, 5753195.131)	 line bottom point : (594128.956, 5745470.425) 	 left # : 1613 	 right # : 1483 	 overlap_with_division_line # : 305
line top point : (594129.956, 5753195.131)	 line bottom point : (594129.956, 5745470.425) 	 left # : 1613 	 right # : 1483 	 overlap_with_division_line # : 305
line top point : (594130.956, 5753195.131)	 line bottom point : (594130.956, 5745470.425) 	 left # : 1615 	 right # : 1481 	 overlap_with_division_line # : 305
line top point : (594131.956, 5753195.131)	 line bottom point : (594131.956, 5745470.425) 	 left # : 1617 	 right # : 1481 	 overlap_with_division_line # : 303
line top point : (594132.956, 5753195.131)	 line bottom point : (594132.956, 5745470.425) 	 left # : 1622 	 right # : 1477 	 overlap_with_division_line # : 302
line top point : (594133.956, 5753195.131)	 line bottom point : (594133.956, 5745470.425) 	 left # : 1624 	 right # : 1475 	 overlap_with_division_line # : 302
line top point : (594134.956, 5753195.131)	 line bottom point : (594134.956, 5745470.425) 	 left # : 1625 	 right # : 1474 	 overlap_with_division_line # : 302
line top point : (594135.956, 5753195.131)	 line bottom point : (594135.956, 5745470.425) 	 left # : 1625 	 right # : 1474 	 overlap_with_division_line # : 302
line top point : (594136.956, 5753195.131)	 line bottom point : (594136.956, 5745470.425) 	 left # : 1625 	 right # : 1474 	 overlap_with_division_line # : 302
line top point : (594137.956, 5753195.131)	 line bottom point : (594137.956, 5745470.425) 	 left # : 1627 	 right # : 1472 	 overlap_with_division_line # : 302
line top point : (594138.956, 5753195.131)	 line bottom point : (594138.956, 5745470.425) 	 left # : 1628 	 right # : 1471 	 overlap_with_division_line # : 302
line top point : (594139.956, 5753195.131)	 line bottom point : (594139.956, 5745470.425) 	 left # : 1628 	 right # : 1471 	 overlap_with_division_line # : 302
line top point : (594140.956, 5753195.131)	 line bottom point : (594140.956, 5745470.425) 	 left # : 1628 	 right # : 1471 	 overlap_with_division_line # : 302
line top point : (594141.956, 5753195.131)	 line bottom point : (594141.956, 5745470.425) 	 left # : 1628 	 right # : 1471 	 overlap_with_division_line # : 302
line top point : (594142.956, 5753195.131)	 line bottom point : (594142.956, 5745470.425) 	 left # : 1628 	 right # : 1471 	 overlap_with_division_line # : 302
line top point : (594143.956, 5753195.131)	 line bottom point : (594143.956, 5745470.425) 	 left # : 1628 	 right # : 1471 	 overlap_with_division_line # : 302
line top point : (594144.956, 5753195.131)	 line bottom point : (594144.956, 5745470.425) 	 left # : 1632 	 right # : 1468 	 overlap_with_division_line # : 301
line top point : (594145.956, 5753195.131)	 line bottom point : (594145.956, 5745470.425) 	 left # : 1634 	 right # : 1466 	 overlap_with_division_line # : 301
line top point : (594146.956, 5753195.131)	 line bottom point : (594146.956, 5745470.425) 	 left # : 1634 	 right # : 1466 	 overlap_with_division_line # : 301
line top point : (594147.956, 5753195.131)	 line bottom point : (594147.956, 5745470.425) 	 left # : 1634 	 right # : 1466 	 overlap_with_division_line # : 301
line top point : (594148.956, 5753195.131)	 line bottom point : (594148.956, 5745470.425) 	 left # : 1636 	 right # : 1464 	 overlap_with_division_line # : 301
line top point : (594149.956, 5753195.131)	 line bottom point : (594149.956, 5745470.425) 	 left # : 1638 	 right # : 1462 	 overlap_with_division_line # : 301
line top point : (594150.956, 5753195.131)	 line bottom point : (594150.956, 5745470.425) 	 left # : 1638 	 right # : 1462 	 overlap_with_division_line # : 301
line top point : (594151.956, 5753195.131)	 line bottom point : (594151.956, 5745470.425) 	 left # : 1639 	 right # : 1461 	 overlap_with_division_line # : 301
line top point : (594152.956, 5753195.131)	 line bottom point : (594152.956, 5745470.425) 	 left # : 1639 	 right # : 1461 	 overlap_with_division_line # : 301
line top point : (594153.956, 5753195.131)	 line bottom point : (594153.956, 5745470.425) 	 left # : 1639 	 right # : 1461 	 overlap_with_division_line # : 301
line top point : (594154.956, 5753195.131)	 line bottom point : (594154.956, 5745470.425) 	 left # : 1639 	 right # : 1461 	 overlap_with_division_line # : 301
line top point : (594155.956, 5753195.131)	 line bottom point : (594155.956, 5745470.425) 	 left # : 1639 	 right # : 1461 	 overlap_with_division_line # : 301
line top point : (594156.956, 5753195.131)	 line bottom point : (594156.956, 5745470.425) 	 left # : 1641 	 right # : 1459 	 overlap_with_division_line # : 301
line top point : (594157.956, 5753195.131)	 line bottom point : (594157.956, 5745470.425) 	 left # : 1641 	 right # : 1459 	 overlap_with_division_line # : 301
line top point : (594158.956, 5753195.131)	 line bottom point : (594158.956, 5745470.425) 	 left # : 1641 	 right # : 1459 	 overlap_with_division_line # : 301
line top point : (594159.956, 5753195.131)	 line bottom point : (594159.956, 5745470.425) 	 left # : 1641 	 right # : 1459 	 overlap_with_division_line # : 301
line top point : (594160.956, 5753195.131)	 line bottom point : (594160.956, 5745470.425) 	 left # : 1641 	 right # : 1459 	 overlap_with_division_line # : 301
line top point : (594161.956, 5753195.131)	 line bottom point : (594161.956, 5745470.425) 	 left # : 1642 	 right # : 1458 	 overlap_with_division_line # : 301
line top point : (594162.956, 5753195.131)	 line bottom point : (594162.956, 5745470.425) 	 left # : 1643 	 right # : 1457 	 overlap_with_division_line # : 301
line top point : (594163.956, 5753195.131)	 line bottom point : (594163.956, 5745470.425) 	 left # : 1647 	 right # : 1453 	 overlap_with_division_line # : 301
line top point : (594164.956, 5753195.131)	 line bottom point : (594164.956, 5745470.425) 	 left # : 1649 	 right # : 1451 	 overlap_with_division_line # : 301
line top point : (594165.956, 5753195.131)	 line bottom point : (594165.956, 5745470.425) 	 left # : 1651 	 right # : 1449 	 overlap_with_division_line # : 301
line top point : (594166.956, 5753195.131)	 line bottom point : (594166.956, 5745470.425) 	 left # : 1651 	 right # : 1449 	 overlap_with_division_line # : 301
line top point : (594167.956, 5753195.131)	 line bottom point : (594167.956, 5745470.425) 	 left # : 1651 	 right # : 1449 	 overlap_with_division_line # : 301
line top point : (594168.956, 5753195.131)	 line bottom point : (594168.956, 5745470.425) 	 left # : 1651 	 right # : 1449 	 overlap_with_division_line # : 301
line top point : (594169.956, 5753195.131)	 line bottom point : (594169.956, 5745470.425) 	 left # : 1651 	 right # : 1449 	 overlap_with_division_line # : 301
line top point : (594170.956, 5753195.131)	 line bottom point : (594170.956, 5745470.425) 	 left # : 1655 	 right # : 1446 	 overlap_with_division_line # : 300
line top point : (594171.956, 5753195.131)	 line bottom point : (594171.956, 5745470.425) 	 left # : 1655 	 right # : 1446 	 overlap_with_division_line # : 300
line top point : (594172.956, 5753195.131)	 line bottom point : (594172.956, 5745470.425) 	 left # : 1657 	 right # : 1445 	 overlap_with_division_line # : 299
line top point : (594173.956, 5753195.131)	 line bottom point : (594173.956, 5745470.425) 	 left # : 1657 	 right # : 1445 	 overlap_with_division_line # : 299
line top point : (594174.956, 5753195.131)	 line bottom point : (594174.956, 5745470.425) 	 left # : 1657 	 right # : 1445 	 overlap_with_division_line # : 299
line top point : (594175.956, 5753195.131)	 line bottom point : (594175.956, 5745470.425) 	 left # : 1659 	 right # : 1444 	 overlap_with_division_line # : 298
line top point : (594176.956, 5753195.131)	 line bottom point : (594176.956, 5745470.425) 	 left # : 1659 	 right # : 1444 	 overlap_with_division_line # : 298
line top point : (594177.956, 5753195.131)	 line bottom point : (594177.956, 5745470.425) 	 left # : 1661 	 right # : 1443 	 overlap_with_division_line # : 297
line top point : (594178.956, 5753195.131)	 line bottom point : (594178.956, 5745470.425) 	 left # : 1661 	 right # : 1443 	 overlap_with_division_line # : 297
line top point : (594179.956, 5753195.131)	 line bottom point : (594179.956, 5745470.425) 	 left # : 1661 	 right # : 1443 	 overlap_with_division_line # : 297
line top point : (594180.956, 5753195.131)	 line bottom point : (594180.956, 5745470.425) 	 left # : 1663 	 right # : 1441 	 overlap_with_division_line # : 297
line top point : (594181.956, 5753195.131)	 line bottom point : (594181.956, 5745470.425) 	 left # : 1665 	 right # : 1439 	 overlap_with_division_line # : 297
line top point : (594182.956, 5753195.131)	 line bottom point : (594182.956, 5745470.425) 	 left # : 1666 	 right # : 1438 	 overlap_with_division_line # : 297
line top point : (594183.956, 5753195.131)	 line bottom point : (594183.956, 5745470.425) 	 left # : 1666 	 right # : 1438 	 overlap_with_division_line # : 297
line top point : (594184.956, 5753195.131)	 line bottom point : (594184.956, 5745470.425) 	 left # : 1666 	 right # : 1438 	 overlap_with_division_line # : 297
line top point : (594185.956, 5753195.131)	 line bottom point : (594185.956, 5745470.425) 	 left # : 1666 	 right # : 1438 	 overlap_with_division_line # : 297
line top point : (594186.956, 5753195.131)	 line bottom point : (594186.956, 5745470.425) 	 left # : 1666 	 right # : 1438 	 overlap_with_division_line # : 297
line top point : (594187.956, 5753195.131)	 line bottom point : (594187.956, 5745470.425) 	 left # : 1666 	 right # : 1438 	 overlap_with_division_line # : 297
line top point : (594188.956, 5753195.131)	 line bottom point : (594188.956, 5745470.425) 	 left # : 1666 	 right # : 1438 	 overlap_with_division_line # : 297
line top point : (594189.956, 5753195.131)	 line bottom point : (594189.956, 5745470.425) 	 left # : 1668 	 right # : 1436 	 overlap_with_division_line # : 297
